game_id,Season,result,starplayer_difference,rpi_rating_difference,Log5,adjoe_difference,adjde_difference,EFG-OEEG,TPP-DTPP_difference,SRS_difference,SOS_difference,adjwin_difference,Hostwin_difference,coach_influence_difference,previous_performance_dif
2002-1104-1194,2002,1,0,0.115,0.943905706,14.6285,6.0493,6.037284273,-0.0034,20.88,13,0.110046083,-0.15,35.44409635,0
2002-1108-1373,2002,0,0,0.046,0.323831248,1.2563,-6.7615,-0.361284817,0.0273,-8.54,-10.47,0.235842294,0.266666667,48.11783155,5
2002-1112-1364,2002,1,0,0.085,0.831539447,11.9343,0.7442,-3.581570535,-0.0094,11.38,12.54,0.058254269,0.033333333,165.3757775,113
2002-1150-1323,2002,0,0,-0.069,0.437058343,-1.9905,-0.0559,-2.621701873,0.0054,-2.09,2.51,-0.087878788,-0.333333334,-17.56932365,1
2002-1153-1131,2002,1,0,0.085,0.982388554,16.2208,13.0654,7.519877565,0.0161,29.06,14.39,0.147857143,0.357142857,85.00915664,41
2002-1153-1417,2002,0,0,0.078,0.874113645,5.1031,8.7094,6.7604487,0.0054,11.24,-4.19,0.222857143,0.142857143,60.2358737,21
2002-1163-1301,2002,1,0,0.042,0.519556918,-1.7179,1.9798,5.481645568,-0.0027,0.17,-0.74,0.129411764,0.1,94.3304888,53
2002-1166-1228,2002,0,0,-0.05,0.23172386,-2.1257,-6.4358,-3.000590569,-0.0117,-10.82,-8.56,-0.009642857,0,-1.579909198,-2
2002-1196-1166,2002,0,0,-0.036,0.843,3.1178,8.8047,3.802539518,0.0229,13.89,6.99,-0.022983871,-0.3,-2.082142996,24
2002-1208-1293,2002,1,0,0.003,0.911795818,10.4402,7.2873,2.760299936,0.0227,0.09,1.14,-0.041964286,-0.75,101.7481272,0
2002-1214-1163,2002,0,0,-0.116,0.1420244,-0.525,-12.1469,-3.933603265,0.0054,-16.42,-16.33,0.035115865,-0.075,-88.81686793,-52
2002-1218-1462,2002,0,-1,-0.028,0.374936933,1.3384,-4.6169,-0.376403134,0.0186,-4.09,-2.94,-0.023863636,-0.133333333,-4.411140084,2
2002-1227-1328,2002,0,0,-0.078,0.064663771,-3.504,-15.3691,-5.133068888,-0.0519,-19.59,-6.28,-0.26993464,-0.138888889,-68.15054498,-10
2002-1231-1181,2002,1,-1,-0.045,0.19230477,-8.9863,-2.172,-3.779188802,-0.0408,-9.72,2.92,-0.197374517,-0.316666667,-153.1331864,-208
2002-1231-1245,2002,1,0,0.007,0.606642402,-4.055,6.2786,1.501772194,-0.0287,5.52,9.98,-0.168168168,-0.127272727,-12.21381762,1
2002-1231-1268,2002,0,-1,-0.048,0.36135522,-6.6415,1.62,-1.692165092,-0.0207,-4.31,2.7,-0.19039039,-0.233333333,-82.33649238,-43
2002-1231-1328,2002,1,0,-0.044,0.422331445,-0.8419,-1.3283,1.855895769,-0.0499,-1.85,4.38,-0.157057057,-0.288888889,-61.24399665,-10
2002-1231-1428,2002,1,0,0.022,0.727878468,0.9905,5.7235,0.711765383,-0.0025,8.51,6.9,0.007387387,0.1,-63.6400638,-39
2002-1242-1221,2002,1,1,0.175,0.965170553,18.3411,6.11,11.95871749,-0.0105,26,14.45,0.353808354,0.321428571,82.05538978,71
2002-1242-1228,2002,1,1,0.051,0.673768777,3.1258,2.2578,2.676112298,-0.0191,5.18,-0.59,0.183938224,-0.05,68.32451306,67
2002-1242-1268,2002,0,0,0.014,0.501771584,-1.2145,1.0025,0.525043698,-0.0112,0.88,-0.03,0.036636637,-0.083333333,13.51546075,28
2002-1245-1104,2002,1,0,-0.033,0.48210974,2.1732,-2.324,1.790550308,0.0085,-3.26,-5.57,0.125079365,0.127272727,-6.079570707,0
2002-1245-1329,2002,1,0,-0.001,0.638625277,9.4416,-4.3022,1.109228566,0.013,-0.72,-4.7,0.153472222,0.012987013,-137.0712045,-41
2002-1245-1338,2002,1,0,-0.004,0.437985355,3.4116,-4.5463,-3.465398347,0.0058,-1.02,-2.45,0.045079365,0.06060606,-4.719125,0
2002-1246-1434,2002,1,0,0.063,0.712940463,0.5515,5.6741,-0.966981039,-0.039,9.77,13.23,-0.095643939,-0.125,26.4472423,23
2002-1268-1163,2002,1,1,0.032,0.732483389,8.0645,0.0524,-0.957338249,0.0052,7.48,1.95,0.085620915,0.133333333,-15.72379934,-9
2002-1268-1246,2002,1,1,0.046,0.673852215,6.4295,-0.4281,5.450147199,0.0109,4.35,-2.61,0.200694444,0.208333333,25.75734624,12
2002-1268-1373,2002,1,1,0.195,0.969911387,17.6449,8.1461,5.81879234,0.0419,26.24,13.09,0.422222222,0.433333333,103.7072336,44
2002-1270-1280,2002,0,0,-0.165,0.185482051,-7.0473,-3.7255,-3.431383941,0.0023,-15.01,-13.13,-0.064761904,-0.75,12.67880622,0
2002-1277-1301,2002,0,0,-0.025,0.45744635,1.3124,-2.2869,2.548342542,-0.0485,-0.95,1.43,-0.087476281,-0.6,28.53583938,68
2002-1280-1400,2002,0,0,0.033,0.647697029,-4.2329,7.8079,6.20167234,0.0118,0.11,-2.65,0.102016806,0.194444444,-55.10868983,-3
2002-1281-1274,2002,1,0,-0.043,0.426536119,4.0379,-5.575,0.033673167,-0.0194,1.23,1.29,-0.088888889,-0.083333333,-22.68553105,2
2002-1281-1328,2002,0,0,-0.091,0.210257592,1.8686,-10.4978,-0.895917947,-0.045,-6.82,-0.89,-0.2,-0.222222222,-54.9993457,-9
2002-1281-1417,2002,1,0,-0.022,0.467960437,1.643,-2.3468,0.321185552,0.004,1.08,-3.96,0.011111111,-0.047619047,-19.64898255,-19
2002-1323-1181,2002,0,-1,-0.079,0.118513695,-4.7306,-9.5838,-3.820805531,-0.0295,-13.21,-2.99,-0.196883116,-0.25,-131.2025946,-208
2002-1326-1172,2002,1,0,0.024,0.869887215,15.7441,-0.9421,-0.199210494,0.0371,15.54,6.55,0.035887097,0.2,48.28678095,22
2002-1326-1281,2002,0,0,0.041,0.674528657,3.2267,2.3601,0.627869616,0.0141,1.92,0.45,0.076388889,0.133333333,42.52871429,21
2002-1328-1112,2002,1,0,0.02,0.599482948,-6.9322,8.3321,1.678663478,0.0473,4.11,-4.79,0.146405229,0.055555556,-96.47581774,-102
2002-1328-1462,2002,1,-1,0.042,0.667093435,1.3376,3.4149,-1.553391789,0.0381,7.14,3.61,0.023611111,0.088888889,41.47582718,11
2002-1332-1242,2002,0,0,-0.08,0.354023109,1.608,-5.3248,-0.275038714,-0.0002,-4.71,-2.42,-0.206795367,-0.083333333,-79.96687161,-71
2002-1332-1285,2002,1,1,0.04,0.964848629,16.1638,8.9374,7.562577013,0.0231,23.87,8.64,0.190414746,0.166666667,32.39020437,1
2002-1332-1400,2002,1,1,-0.003,0.705668069,3.0301,3.5726,8.102624758,0.0104,5.36,-3.05,0.044873949,0.111111111,-40.84696483,-2
2002-1332-1448,2002,1,1,-0.002,0.677320236,0.9007,4.4719,4.979658047,0.0223,4.42,-3.35,0.103697479,0.166666667,-17.29827925,1
2002-1335-1143,2002,0,0,0.017,0.377904362,-1.4592,-2.1002,6.930806105,-0.047,-5.12,-8.96,0.13125,0,-1.205906525,-1
2002-1338-1143,2002,1,0,0.015,0.610529819,1.8356,1.4366,6.337529222,-0.0215,1.61,-2.9,0.145892857,0.166666667,-18.51074437,-6
2002-1338-1148,2002,1,-1,0.088,0.906980187,11.8231,4.7384,5.230234294,0.0273,15.79,13.84,-0.054107143,-0.083333333,6.289686751,-1
2002-1356-1163,2002,0,1,-0.048,0.307145331,-2.7336,-3.0668,-3.14492249,-0.0027,-6.23,-5.76,-0.003267973,-0.033333333,-96.05772132,-53
2002-1356-1208,2002,1,1,-0.033,0.30505981,-9.112,2.2647,4.641439123,-0.0106,9.05,2.47,0.241269842,0.666666667,-99.70776342,-1
2002-1361-1228,2002,0,0,-0.118,0.205111041,-7.7573,-2.4085,-3.350877229,-0.0426,-11.51,-3.92,-0.097142857,-0.05,27.66836244,-5
2002-1390-1242,2002,0,-1,-0.095,0.270807091,-1.0828,-5.7723,-5.224846422,-0.035,-7.35,-0.32,-0.234414414,-0.15,-36.97249684,-35
